시군구_코드,도로_일련번호,법정동_일련번호,도로_명,영문_도로_명,시도_명,시군구_명,법정동_구분,법정동_코드,법정동_명,상위_도로_일련번호,상위_도로_명,새주소_사용여부,변경_이력_사유_코드,변경_이력_정보,법정동_번호,도로_코드
11710,4169206,1,삼전로10길,Samjeon-ro 10-gil,서울특별시,송파구,1,10601,삼전동,3123007,,0,,,106,117104169206 
11710,4169206,0,삼전로10길,Samjeon-ro 10-gil,서울특별시,송파구,2,0,,3123007,,0,,,,117104169206 
11710,4169207,1,삼전로12길,Samjeon-ro 12-gil,서울특별시,송파구,1,10601,삼전동,3123007,,0,,,106,117104169207 
11710,4169146,0,바람드리16길,Baramdeuri 16-gil,서울특별시,송파구,2,0,,,,0,,,,117104169146 
11710,4169147,1,바람드리17길,Baramdeuri 17-gil,서울특별시,송파구,1,10301,풍납동,,,0,,,103,117104169147 
11710,4169147,0,바람드리17길,Baramdeuri 17-gil,서울특별시,송파구,2,0,,,,0,,,,117104169147 
11710,4169148,1,바람드리18길,Baramdeuri 18-gil,서울특별시,송파구,1,10301,풍납동,,,0,,,103,117104169148 
11710,4169148,0,바람드리18길,Baramdeuri 18-gil,서울특별시,송파구,2,0,,,,0,,,,117104169148 
11710,4169149,1,바람드리1길,Baramdeuri 1-gil,서울특별시,송파구,1,10301,풍납동,,,0,,,103,117104169149 
11710,4169149,0,바람드리1길,Baramdeuri 1-gil,서울특별시,송파구,2,0,,,,0,,,,117104169149 
11710,4169150,1,바람드리20길,Baramdeuri 20-gil,서울특별시,송파구,1,10301,풍납동,,,0,,,103,117104169150 
11710,4169150,0,바람드리20길,Baramdeuri 20-gil,서울특별시,송파구,2,0,,,,0,,,,117104169150 
11710,4169151,1,바람드리22길,Baramdeuri 22-gil,서울특별시,송파구,1,10301,풍납동,,,0,,,103,117104169151 
11710,4169539,1,올림픽로39길,Olympic-ro 39-gil,서울특별시,송파구,1,10201,신천동,3123023,,0,,,102,117104169539 
11710,4169539,0,올림픽로39길,Olympic-ro 39-gil,서울특별시,송파구,2,0,,3123023,,0,,,,117104169539 
11710,4169540,1,올림픽로41길,Olympic-ro 41-gil,서울특별시,송파구,1,10301,풍납동,3123023,,0,,,103,117104169540 
11710,4169540,0,올림픽로41길,Olympic-ro 41-gil,서울특별시,송파구,2,0,,3123023,,0,,,,117104169540 
11710,4169541,0,올림픽로61길,Olympic-ro 61-gil,서울특별시,송파구,2,0,,,,0,,,,117104169541 
11710,4169542,0,중대로15길,Jungdae-ro 15-gil,서울특별시,송파구,2,0,,,,0,,,,117104169542 
11710,4169543,0,중대로2길,Jungdae-ro 2-gil,서울특별시,송파구,2,0,,,,0,,,,117104169543 
11710,4169544,1,동남로23길,Dongnam-ro 23(isipsam)-gil,서울특별시,송파구,1,11201,오금동,,,0,,,112,117104169544 
11710,4169544,0,동남로23길,Dongnam-ro 23(isipsam)-gil,서울특별시,송파구,2,0,,,,0,,,,117104169544 
11710,4169545,1,동남로23가길,Dongnam-ro 23(isipsam)ga-gil,서울특별시,송파구,1,11201,오금동,,,0,,,112,117104169545 
11710,4169545,0,동남로23가길,Dongnam-ro 23(isipsam)ga-gil,서울특별시,송파구,2,0,,,,0,,,,117104169545 
11710,4169546,1,동남로23나길,Dongnam-ro 23(isipsam)na-gil,서울특별시,송파구,1,11201,오금동,,,0,,,112,117104169546 
11710,4169546,0,동남로23나길,Dongnam-ro 23(isipsam)na-gil,서울특별시,송파구,2,0,,,,0,,,,117104169546 
11710,4169076,0,동남로9길,Dongnam-ro 9-gil,서울특별시,송파구,2,0,,3000034,,0,,,,117104169076 
11710,4169077,1,마천로10길,Macheon-ro 10-gil,서울특별시,송파구,1,11201,오금동,3123004,,0,,,112,117104169077 
11710,4169077,0,마천로10길,Macheon-ro 10-gil,서울특별시,송파구,2,0,,3123004,,0,,,,117104169077 
11710,4169078,1,마천로11길,Macheon-ro 11-gil,서울특별시,송파구,1,11201,오금동,3123004,,0,,,112,117104169078 
11710,4169078,0,마천로11길,Macheon-ro 11-gil,서울특별시,송파구,2,0,,3123004,,0,,,,117104169078 
11710,4169079,1,마천로13길,Macheon-ro 13-gil,서울특별시,송파구,1,11201,오금동,3123004,,0,,,112,117104169079 
